Title,Ingredients,Steps,Ingredients Cleaned
Ayam Kecap Pedas Jeruk Limao,"1/2 kg ayam potong2--2 lbr daun salam--1 ruas jahe geprek--4 lbr daun jeruk, buang tulangnya--3 buah jeruk limao--Secukupnya air perasn jeruk nipis--Secukupnya garam, merica, gula pasir, kaldu bubuk--Secukupnya kecap manis--250 ml air--1 siung bawang Bombay, iris2--🌀 Bumbu Halus 🌀--3 siung bawang putih--5 siung bawang merah--10 buah cabe keriting merah--5 buah cabe rawit merah--","1) Cuci ayam, lalu lumuri dgn perasan air jeruk nipis & garam, diamkan sebentar -+ 10 mnt, lalu bilas sampai bersih
2) Goreng ayam sebentar, tidak usah sampai garing, sisihkan
3) Panaskan minyak, tumis bumbu halus, daun salam, daun jeruk, jahe, sampai harum
4) Masukkan bawang Bombay, masak sebentar
5) Tambahkan air, beri garam, merica, gula pasir, kecap, & masukkan ayam, aduk rata, koreksi rasa
6) Biarkan air surut & bumbu meresap, setelah matang, matikan api, beri perasan jeruk limao, aduk rata, sajikan
7) Enakk  pedes seger","ayam potong , daun salam , jahe , daun jeruk , buang tulangnya , jeruk limao , air perasn jeruk nipis , garam , merica , gula pasir , kaldu bubuk , kecap manis , air , bawang bombai , bumbu halus , bawang putih , bawang merah , cabe keriting merah , cabe rawit merah"
Sayap Goreng Bumbu Ngo Hiang,1 kg sayap ayam bagian drum stick--2 sdm air jeruk nipis / lemon--1 sdt garam--1 sdm bumbu ngo hiang--3 tetes suclarose/stevia drop (boleh skip)--,"1) Cuci sayap ayam, lalu dalam satu wadah masukkan sayap ayam beserta seluruh bumbu diatas, remas2
2) Simpan dalam kulkas semalaman hingga bumbu meresap
3) Goreng sayap ayam dengan minyak panas dan banyak hingga matang, sajikan","sayap ayam drum stick , air jeruk nipis lemon , garam , bumbu ngo hiang , tetes suclarose stevia drop"
Ayam goreng bakar kecap,1 kg ayam--Secukupnya minyak untuk menggoreng--Bumbu kuning halus:--4 bawang putih--8 cm kunyit (dikira-kira aja ya)--5 cm lengkuas--1 sdm ketumbar--1 sdt merica--100 ml air--Secukupnya garam dan kaldu bubuk--Bumbu bakar:--8 sdm kecap--2 sdm mentega--Bahan sambel:--3 bawang merah--1 bawang putih--4 cabe hijau besar--7 cabe rawit--1 tomat hijau--Secukupnya garam dan gula--,"1) Ungkep ayam dgn bumbu kuning, hingga bumbu meresap, tiriskan
2) Panaskan minyak, goreng ayam hingga garing, tiriskan lalu marinade dgn bumbu bakar
3) Siapkan alat bakaran, bakar jangan trllu lama, angkat
4) Rebus semua bahan sambal, hingga layu kurleb 5menit, tiriskan lalu ulek, beri bumbu. Boleh d tumis lagi sambelnya. Saya gak sempet d tumis lg udah enak ko
5) Siap disantap bersama nasi panas dan lalab","ayam , minyak , bumbu kuning halus , bawang putih , kunyit , lengkuas , ketumbar , merica , air , garam kaldu bubuk , bumbu bakar , kecap , mentega , sambel , bawang merah , bawang putih , cabe hijau , cabe rawit , tomat hijau , garam gula"
Ayam Rica-rica super pedes,1 ekor ayam potong--Bumbu:--5 buah cabai merah--20 buah cabai rawit--5 siung bawang putih--7 siung bawang merah--3 buah kemiri--1 sachet merica bubuk--1 sachet ketumbar bubuk--secukupnya gula merah--secukupnya kecap manis--secukupnya garam--secukupnya penyedap rasa--1 ruas kunyit--1 ruas jahe--1 ruas besar lengkuas--2 batang serai--3 lembar daun salam--2 lembar daun jeruk--secukupnya minyak goreng--secukupnya air--,"1) Potong potong ayam cuci bersih tiriskan
2) Haluskan cabai merah rawit, bawang merah,putih, kemiri, dan kunyit.
3) Geprek jahe, lengkuas, serai, dan gula.
4) Tumis bumbu yang sudah di haluskan hingga harum, masukkan daun salam, jeruk dan bumbu yang digeprek kecuali gula merah.
5) Masukkan ayam, beri air secukupnya, ungkep 10 menit.
6) Masukkan merica, ketumbar, gula merah, kecap, garam dan penyedap rasa.
7) Ungkep selama kurang lebih 20 menit.
8) Tes rasa. siap sajikan.","ayam potong , bumbu , cabai merah , cabai rawit , bawang putih , bawang merah , kemiri , merica bubuk , biji ketumbar , gula merah , kecap manis , garam , penyedap , kunyit , jahe , lengkuas , serai , daun salam , daun jeruk , minyak goreng , air"
Ayam Kecap Manis Cabai,"500 gr ayam--3 siung bw putih, geprek cincang--1 bh cabe merah besar, iris serong--1/2 sdt merica bubuk--3-4 sdm kecap manis--200 ml air--Secukupnya garam--3 sdm minyak sayur--Secukupnya daun bawang, utk taburan--","1) Tumis bw putih, cabe dan merica bubuk hingga layu dan baput agak kecokelatan
2) Masukkan ayamnya, aduk hingga berubah warna
3) Beri kecap manis lalu tuang air, bubuhi garam secukupnya, aduk rata lalu tutup wajan hingga airnya sat dan bumbu meresap
4) Sajikan lalu taburi dgn daun bawang","ayam , bw putih , geprek cincang , cabe merah , serong , merica bubuk , kecap manis , air , garam , minyak sayur , daun bawang , utk taburan"
Crispy Chicken,Ayam Potong 8 (rebus stengah matang pakai garam + bawang putih)--Merica Bubuk (Merk Ladaku)--Garam--Baking Powder (Merk Koepoe2)--Royco Ayam--Tepung Maizena (1:4 sama terigu)--Tepung Terigu (4:1 sama maizena)--Minyak Goreng--Telur 2 butir (1 dimasukan ke mangkok dan 1 untuk campuran ayam)--,"1) Campurkan ayam dengan 1 sdm baking powder, merica bubuk, garam, dan 1 butir telur, aduk rata. (Takaran bumbu sesuai selera) *jika ada sisa telur, bisa di campur ke telur yang di pisah di mangkok*
2) Campur tepung terigu, tepung maizena, 1 sdm baking powder dan royco.
3) Masukan 1 per satu potongan ayam ke dalam campuran tepung, sambil di cubit-cubit (penting agar ayam kribo). (Maksud di cubit disini meregangkan tepung sehingga tepung agak sedikit terlepas dan menjadi retak-retak spt gambar)
4) Ayam yang telah di lumuri tepung dicelup kedalam telur yang ada di mangkok terpisah. Ulangi langkah ke tiga.
5) Setelah semua ayam sudh di lumuri tepung kembali dan di cubit-cubit goreng hingga berwarna kuning keemasan.
6) Ayam Crispy siap di hidangkan. (Saus cocolan aku biasa pakai sambal ayam goreng ABC)","ayam potong rebus stengah matang garam + bawang putih , merica bubuk merk ladaku , garam , baking powder merk koepoe , royco ayam , tepung maizena terigu , tepung terigu maizena , minyak goreng , telur dimasukan mangkok campuran ayam"
Sayap Ayam (Saus) Margarin,"8 buah sayap ayam, cuci bersih--1/2 buah bawang bombay, potong panjang--3 siung bawang putih, geprek dan cincang halus--1/2 dt saus tiram--1/4 sdt kecap Inggris--1/2 sdt kecap manis--1/4 sdt kecap asin--secukupnya Gula dan merica bubuk--75 gr margarin--100 ml air--Bahan rendaman ayam:--2 sdt air jeruk nipis--secukupnya Garam--","1) Lumuri ayam dengan garam dan air jeruk. Diamkan selama kurang lebih 10 menit.
2) Panaskan minyak, goreng ayam hingga kuning kecoklatan. Angkat dan tiriskan
3) Lelehkan margarin, tumis bawang bombay dan bawang putih hingga harum. Masukkan saus tiram, kecap Inggris, dan kecap manis. Masukkan ayam goreng. Aduk rata.
4) Tambahkan air. Beri merica dan gula secukupnya. Koreksi rasa. Masak hingga meresap.
5) Sajikan","sayap ayam , bawang bombai , potong panjang , bawang putih , geprek cincang halus , dt saus tiram , kecap inggris , kecap manis , kecap asin , gula merica bubuk , margarin , air , rendaman ayam , air jeruk nipis , garam"
Ayam Kemangi,1/2 kilo dada ayam--1 iket kemangi--Bumbu halus--3 siung bawang putih--5 siung bawang merah--Cabe merah cabe rawit (sesuai selera)--1 kemiri--1 ruas kunyit--1 ruas jahe (geprek)--3 lembar daun jeruk--2 batang serai (geprek)--Gula--Garam--Penyedap rasa--,"1) Rebus setengah matang ayam yang sudah dipotong potong. Jangan buang kuahnya.
2) Tumis bumbu yang sudah dihaluskan sampai harum.
3) Masukkan daging ayam dengan kuahnya. Tutup dan biarkan sampai bumbu meresap.
4) Masukkan kemangi. Aduk bentar. Sajikan.","kilo dada ayam , daun kemangi , bumbu halus , bawang putih , bawang merah , cabe merah cabe rawit , kemiri , kunyit , jahe , daun jeruk , serai geprek , gula , garam , penyedap"
356. Rendang Ayam Kacang Merah,"1/2 kg ayam, potong sesuai selera--250 grm kacang merah basah--500 ml santan kental--500-750 ml air (untuk merebus kacang)--Bumbu-bumbu:--8 siung bawang merah--5 siung bawang putih--3 bh cabe merah, potong-potong--10 bh cabe rawit (sesuaikan selera aja ya)--1 ruas lengkuas, iris tipis--1 ruas jahe, iris tipis--1 ruas kunyit, iris tipis--5 bh kemiri utuh--1 sdt ketumbar--1/2 sdt merica--1/4 sdt jinten--4 lbr daun jeruk--3 lbr daun salam--3 tangkai serei, memarkan--1.5 sdt garam halus--1.5 sdt gula pasir--3 sdm minyak goreng untuk menumis bumbu--","1) Siapkan dan timbang bahan sesuai resep.
2) Haluskan semua bumbu kecuali daun jeruk, daun salam, serei, dan gula pasir.
3) Tumis semua bumbu kecuali gula hingga harum, masukkan kacang merah dan tambahkan air. Rebus hingga kacang empuk.
4) Masukkan ayam dan gula pasir. Masak hingga ayam empuk.
5) Masukkan santan, masak lagi hingga santan sedikit menyusut (saya suka agak kering).
6) Tes rasa, kalau sudah cukup, matikan apinya dan angkat.
7) Ini hasilnya, Rendang Ayam Kacang Merah siap disajikan
8) Selamat mencoba!
9) Happy cooking","ayam , potong , kacang merah basah , santan kental , air merebus kacang , bumbu bumbu , bawang merah , bawang putih , cabe merah , potong potong , cabe rawit , lengkuas , tipis , jahe , tipis , kunyit , tipis , kemiri , ketumbar , merica , jinten , daun jeruk , daun salam , tangkai serei , memarkan , garam halus , gula pasir , minyak goreng menumis bumbu"
Yamie Ayam,"1 ekor ayam kampung--5 siung bawang putih, cacah halus--3 sdt kecap ikan--1 sdt kaldu ayam atau jamur bubuk--secukupnya Merica--1 sdt gula pasir--Untuk kuah:--3 siung bawang putih, cacah halus--10 butir bakso--1 batang daun bawang, iris tipis--Sambal:--12 buah cabai rawit merah--3 siung bawang putih--secukupnya Garam--1/2 sdt gula pasir--1/2 sdt kaldu ayam atau jamur bubuk--1/2 sdt cuka--5-6 sdm air panas--Bumbu Mie:--4-5 sdm minyak ayam (minyak dari menggoreng kulit ayam)--1 sdm kecap ikan--2 sdt minyak wijen--secukupnya Merica--1 sdt kaldu ayam atau jamur bubuk--Bahan pelengkap:--Mie kering atau basah--Rebusan sawi hijau--Irisan daun bawang--Bawang goreng--","1) Rebus ayam hingga lunak. Sisihkan dagingnya. Suwir dan cacah.
- Didihkan kuah. Tambahkan bakso dan bawang putih. Bumbuhi dengan kaldu bubuk, garam dan merica secukupnya. Masak hingga bawang matang dan harum. Koreksi rasa. Masukkan daun bawang dan matikan api.
- Untuk topping ayam: tumis bawang putih hingga harum. Tambahkan kecap ikan. Masukkan ayam dan aduk rata. Bumbuhi dengan garam, gula, kaldu bubuk dan merica secukupnya.
2) Bila dirasa kurang empuk dan meresap, tambahkan air secukupnya dan masak hingga kuah habis. Koreksi rasa. Sisihkan.
- Untuk sambal: rebus cabai dan bawang putih. Haluskan dan campur rata dengan bahan lainnya. Tuang dalam mangkuk.
- Untuk bumbu mie: campur rata semua bahan.
- Untuk penyajian: rebus seporsi mie. Tiriskan dan beri 1 sdm bumbu mie: aduk rata. Beri topping ayam, sawi, daun bawang dan bawang goreng. Sajikan dengan kuah bakso dan sambal.","ayam kampung , bawang putih , cacah halus , kecap ikan , kaldu ayam jamur bubuk , merica , gula pasir , kuah , bawang putih , cacah halus , bakso , batang daun bawang , tipis , sambal , cabai rawit merah , bawang putih , garam , gula pasir , kaldu ayam jamur bubuk , cuka , air panas , bumbu mie , minyak ayam minyak kulit ayam , kecap ikan , minyak wijen , merica , kaldu ayam jamur bubuk , pelengkap , mie kering basah , rebusan sawi hijau , irisan daun bawang , bawang goreng"
